EN,ASCII,Description,Compositional_strategy,Attribute,Label
gentle smile,(つ ͡° ͜ʖ ͡°)つ,ASCII '(つ ͡° ͜ʖ ͡°)つ' does NOT represent 'gentle smile',Metaphorical,ACTION,0
yin yang,☯,ASCII '☯' represents 'yin yang',Single,OBJECT,1
gentle smile,┬─┬ノ( º _ ºノ),ASCII '┬─┬ノ( º _ ºノ)' does NOT represent 'gentle smile',Metaphorical,ACTION,0
person celebrating,\o_,ASCII '\o_' represents 'person celebrating',Direct,ACTION,1
person waving,_o/,ASCII '_o/' represents 'person waving',Direct,ACTION,1
fading lines,--- - -,ASCII '--- - -' represents 'fading lines',Semantic List,OBJECT,1
love symbol,♥,ASCII '♥' represents 'love symbol',Single,EMOTION,1
extreme laughter,------,ASCII '------' does NOT represent 'extreme laughter',Reduplication,OBJECT,0
determined spirit,(ง ͠° ͟ل͜ ͡°)ง,ASCII '(ง ͠° ͟ل͜ ͡°)ง' does NOT represent 'determined spirit',Metaphorical,STATE,0
cross mark,☂,ASCII '☂' does NOT represent 'cross mark',Single,OBJECT,0
creepy reach,♪~ ᕕ(ᐛ)ᕗ,ASCII '♪~ ᕕ(ᐛ)ᕗ' does NOT represent 'creepy reach',Metaphorical,ACTION,0
adding more,[ ] { } ( ),ASCII '[ ] { } ( )' does NOT represent 'adding more',Semantic List,OBJECT,0
envelope symbol,✉,ASCII '✉' represents 'envelope symbol',Single,OBJECT,1
determined spirit,☜(ﾟヮﾟ☜),ASCII '☜(ﾟヮﾟ☜)' does NOT represent 'determined spirit',Metaphorical,ACTION,0
playful tongue,:P,ASCII ':P' represents 'playful tongue',Direct,EMOTION,1
heavy emphasis,######,ASCII '######' represents 'heavy emphasis',Reduplication,OBJECT,1
extreme frustration,(╯°□°）╯︵ ┻━┻,ASCII '(╯°□°）╯︵ ┻━┻' represents 'extreme frustration',Metaphorical,EMOTION,1
wave pattern,~~ ~ ~~,ASCII '~~ ~ ~~' represents 'wave pattern',Semantic List,OBJECT,1
crying face,T_T,ASCII 'T_T' represents 'crying face',Direct,EMOTION,1
star symbol,*,ASCII '*' represents 'star symbol',Direct,OBJECT,1
tears of joy,ಥ_ಥ,ASCII 'ಥ_ಥ' represents 'tears of joy',Metaphorical,EMOTION,1
money symbols,$$$ $ $,ASCII '$$$ $ $' represents 'money symbols',Semantic List,OBJECT,1
sly expression,(¬‿¬),ASCII '(¬‿¬)' represents 'sly expression',Metaphorical,EMOTION,1
multiple hearts,[ ] { } ( ),ASCII '[ ] { } ( )' does NOT represent 'multiple hearts',Semantic List,OBJECT,0
cool dancing,ヾ(⌐■_■)ノ♪,ASCII 'ヾ(⌐■_■)ノ♪' represents 'cool dancing',Metaphorical,ACTION,1
snowman symbol,♣,ASCII '♣' does NOT represent 'snowman symbol',Single,OBJECT,0
slash pattern,=) =) =),ASCII '=) =) =)' does NOT represent 'slash pattern',Semantic List,EMOTION,0
offering hug,(っ◔◡◔)っ,ASCII '(っ◔◡◔)っ' represents 'offering hug',Metaphorical,ACTION,1
many ats,======,ASCII '======' does NOT represent 'many ats',Reduplication,OBJECT,0
cool attitude,┌(・。・)┘♪,ASCII '┌(・。・)┘♪' does NOT represent 'cool attitude',Metaphorical,ACTION,0
circle pattern,TT T TT,ASCII 'TT T TT' does NOT represent 'circle pattern',Semantic List,EMOTION,0
disapproval stare,ಠ_ಠ,ASCII 'ಠ_ಠ' represents 'disapproval stare',Metaphorical,EMOTION,1
creepy reach,ᕙ(⇀‸↼‶)ᕗ,ASCII 'ᕙ(⇀‸↼‶)ᕗ' does NOT represent 'creepy reach',Metaphorical,ACTION,0
winking,|||,ASCII '|||' does NOT represent 'winking',Direct,OBJECT,0
equal signs,===,ASCII '===' represents 'equal signs',Direct,OBJECT,1
bar pattern,|| | ||,ASCII '|| | ||' represents 'bar pattern',Semantic List,OBJECT,1
gentle grasp,(ㆆ_ㆆ),ASCII '(ㆆ_ㆆ)' does NOT represent 'gentle grasp',Metaphorical,EMOTION,0
many ands,&&&&&&,ASCII '&&&&&&' represents 'many ands',Reduplication,OBJECT,1
joyful celebration,┬─┬ノ( º _ ºノ),ASCII '┬─┬ノ( º _ ºノ)' does NOT represent 'joyful celebration',Metaphorical,ACTION,0
arrow left,\o,ASCII '\o' does NOT represent 'arrow left',Direct,ACTION,0
x marks,??? ? ?,ASCII '??? ? ?' does NOT represent 'x marks',Semantic List,STATE,0
android smile,(҂◡_◡),ASCII '(҂◡_◡)' represents 'android smile',Metaphorical,QUALITY,1
intense anger,(╬ಠ益ಠ),ASCII '(╬ಠ益ಠ)' represents 'intense anger',Metaphorical,EMOTION,1
weird fighter,(╯°□°）╯︵ ┻━┻,ASCII '(╯°□°）╯︵ ┻━┻' does NOT represent 'weird fighter',Metaphorical,EMOTION,0
laughing hard,XD,ASCII 'XD' represents 'laughing hard',Direct,EMOTION,1
offering hug,╰(*°▽°*)╯,ASCII '╰(*°▽°*)╯' does NOT represent 'offering hug',Metaphorical,EMOTION,0
broken heart,</3,ASCII '</3' represents 'broken heart',Direct,OBJECT,1
crying face,:P,ASCII ':P' does NOT represent 'crying face',Direct,EMOTION,0
putting table back,┬─┬ノ( º _ ºノ),ASCII '┬─┬ノ( º _ ºノ)' represents 'putting table back',Metaphorical,ACTION,1
surprised,+++,ASCII '+++' does NOT represent 'surprised',Direct,OBJECT,0
shock and confusion,!!! ???,ASCII '!!! ???' represents 'shock and confusion',Semantic List,STATE,1
dancing happily,(◉_◉),ASCII '(◉_◉)' does NOT represent 'dancing happily',Metaphorical,STATE,0
both hands up,\o/,ASCII '\o/' represents 'both hands up',Direct,ACTION,1
wave pattern,### # #,ASCII '### # #' does NOT represent 'wave pattern',Semantic List,OBJECT,0
box shape,[],ASCII '[]' represents 'box shape',Direct,OBJECT,1
gentle smile,(づ￣ ³￣)づ,ASCII '(づ￣ ³￣)づ' does NOT represent 'gentle smile',Metaphorical,ACTION,0
vertical lines,|||,ASCII '|||' represents 'vertical lines',Direct,OBJECT,1
hashtag emphasis,~~ ~ ~~,ASCII '~~ ~ ~~' does NOT represent 'hashtag emphasis',Semantic List,OBJECT,0
arrow down,~~~,ASCII '~~~' does NOT represent 'arrow down',Direct,OBJECT,0
ready to fight,(ㆆ_ㆆ),ASCII '(ㆆ_ㆆ)' does NOT represent 'ready to fight',Metaphorical,EMOTION,0
money symbols,$$$ $ $,ASCII '$$$ $ $' represents 'money symbols',Semantic List,OBJECT,1
club suit,♣,ASCII '♣' represents 'club suit',Single,OBJECT,1
finger guns,(づ￣ ³￣)づ,ASCII '(づ￣ ³￣)づ' does NOT represent 'finger guns',Metaphorical,ACTION,0
percent signs,@@@ @ @,ASCII '@@@ @ @' does NOT represent 'percent signs',Semantic List,OBJECT,0
dancing to music,(ง ͠° ͟ل͜ ͡°)ง,ASCII '(ง ͠° ͟ل͜ ͡°)ง' does NOT represent 'dancing to music',Metaphorical,STATE,0
slash pattern,$$$ $ $,ASCII '$$$ $ $' does NOT represent 'slash pattern',Semantic List,OBJECT,0
wide eyed,ᕦ(ò_óˇ)ᕤ,ASCII 'ᕦ(ò_óˇ)ᕤ' does NOT represent 'wide eyed',Metaphorical,ACTION,0
praying hands,_/\_,ASCII '_/\_' represents 'praying hands',Direct,ACTION,1
sly expression,(~˘▾˘)~,ASCII '(~˘▾˘)~' does NOT represent 'sly expression',Metaphorical,ACTION,0
dizzy face,@_@,ASCII '@_@' represents 'dizzy face',Direct,EMOTION,1
fading lines,--- - -,ASCII '--- - -' represents 'fading lines',Semantic List,OBJECT,1
group sadness,=) =) =),ASCII '=) =) =)' does NOT represent 'group sadness',Semantic List,EMOTION,0
wide eyed,( ˘ ³˘)♥,ASCII '( ˘ ³˘)♥' does NOT represent 'wide eyed',Metaphorical,ACTION,0
hash pattern,\o/,ASCII '\o/' does NOT represent 'hash pattern',Direct,ACTION,0
raising hand,\o,ASCII '\o' represents 'raising hand',Direct,ACTION,1
sly expression,☜(ﾟヮﾟ☜),ASCII '☜(ﾟヮﾟ☜)' does NOT represent 'sly expression',Metaphorical,ACTION,0
bracket types,[ ] { } ( ),ASCII '[ ] { } ( )' represents 'bracket types',Semantic List,OBJECT,1
many downs,------,ASCII '------' does NOT represent 'many downs',Reduplication,OBJECT,0
many pluses,~~~~~~,ASCII '~~~~~~' does NOT represent 'many pluses',Reduplication,OBJECT,0
dancing happily,ヾ(⌐■_■)ノ♪,ASCII 'ヾ(⌐■_■)ノ♪' does NOT represent 'dancing happily',Metaphorical,ACTION,0
person waving,_o/,ASCII '_o/' represents 'person waving',Direct,ACTION,1
happy walking,♪~ ᕕ(ᐛ)ᕗ,ASCII '♪~ ᕕ(ᐛ)ᕗ' represents 'happy walking',Metaphorical,ACTION,1
putting on glasses,( •_•)>⌐■-■,ASCII '( •_•)>⌐■-■' represents 'putting on glasses',Metaphorical,ACTION,1
weird fighter,ಠ_ಠ,ASCII 'ಠ_ಠ' does NOT represent 'weird fighter',Metaphorical,EMOTION,0
happy face,###,ASCII '###' does NOT represent 'happy face',Direct,OBJECT,0
disapproval stare,(づ￣ ³￣)づ,ASCII '(づ￣ ³￣)づ' does NOT represent 'disapproval stare',Metaphorical,ACTION,0
creepy reach,(╬ಠ益ಠ),ASCII '(╬ಠ益ಠ)' does NOT represent 'creepy reach',Metaphorical,EMOTION,0
person celebrating,\o_,ASCII '\o_' represents 'person celebrating',Direct,ACTION,1
winking,|||,ASCII '|||' does NOT represent 'winking',Direct,OBJECT,0
putting table back,┬─┬ノ( º _ ºノ),ASCII '┬─┬ノ( º _ ºノ)' represents 'putting table back',Metaphorical,ACTION,1
circle shape,o,ASCII 'o' represents 'circle shape',Direct,OBJECT,1
ampersands,??? ? ?,ASCII '??? ? ?' does NOT represent 'ampersands',Semantic List,STATE,0
neutral expression,:-|,ASCII ':-|' represents 'neutral expression',Direct,EMOTION,1
android smile,(~˘▾˘)~,ASCII '(~˘▾˘)~' does NOT represent 'android smile',Metaphorical,ACTION,0
offering hug,(っ◔◡◔)っ,ASCII '(っ◔◡◔)っ' represents 'offering hug',Metaphorical,ACTION,1
dancing to music,(ಥ﹏ಥ),ASCII '(ಥ﹏ಥ)' does NOT represent 'dancing to music',Metaphorical,EMOTION,0
extreme frustration,(╯°□°）╯︵ ┻━┻,ASCII '(╯°□°）╯︵ ┻━┻' represents 'extreme frustration',Metaphorical,EMOTION,1
determined spirit,(๑•̀ㅂ•́)و✧,ASCII '(๑•̀ㅂ•́)و✧' represents 'determined spirit',Metaphorical,QUALITY,1
club suit,♥,ASCII '♥' does NOT represent 'club suit',Single,EMOTION,0
curly brackets,{},ASCII '{}' represents 'curly brackets',Direct,OBJECT,1
dancing to music,┌(・。・)┘♪,ASCII '┌(・。・)┘♪' represents 'dancing to music',Metaphorical,ACTION,1
energetic dance,♪┏(・o･)┛♪,ASCII '♪┏(・o･)┛♪' represents 'energetic dance',Metaphorical,ACTION,1
percent signs,.. . ..,ASCII '.. . ..' does NOT represent 'percent signs',Semantic List,STATE,0
putting table back,┬─┬ノ( º _ ºノ),ASCII '┬─┬ノ( º _ ºノ)' represents 'putting table back',Metaphorical,ACTION,1
wide eyed,(◉_◉),ASCII '(◉_◉)' represents 'wide eyed',Metaphorical,STATE,1
putting on glasses,(✿◠‿◠),ASCII '(✿◠‿◠)' does NOT represent 'putting on glasses',Metaphorical,EMOTION,0
disapproval stare,ಠ_ಠ,ASCII 'ಠ_ಠ' represents 'disapproval stare',Metaphorical,EMOTION,1
do not know,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' does NOT represent 'do not know',Metaphorical,ACTION,0
adding more,ooo o o,ASCII 'ooo o o' does NOT represent 'adding more',Semantic List,OBJECT,0
bracket types,@@@ @ @,ASCII '@@@ @ @' does NOT represent 'bracket types',Semantic List,OBJECT,0
person waving,{},ASCII '{}' does NOT represent 'person waving',Direct,OBJECT,0
tears of joy,(◉_◉),ASCII '(◉_◉)' does NOT represent 'tears of joy',Metaphorical,STATE,0
kissy hug,(҂◡_◡),ASCII '(҂◡_◡)' does NOT represent 'kissy hug',Metaphorical,QUALITY,0
up and down,^^^ vvv,ASCII '^^^ vvv' represents 'up and down',Semantic List,ACTION,1
suggestive look,┬─┬ノ( º _ ºノ),ASCII '┬─┬ノ( º _ ºノ)' does NOT represent 'suggestive look',Metaphorical,ACTION,0
adding more,\\ \ \\,ASCII '\\ \ \\' does NOT represent 'adding more',Semantic List,OBJECT,0
reverse arrows,<- <-- <---,ASCII '<- <-- <---' represents 'reverse arrows',Semantic List,ACTION,1
flexing muscles,ᕙ(⇀‸↼‶)ᕗ,ASCII 'ᕙ(⇀‸↼‶)ᕗ' represents 'flexing muscles',Metaphorical,ACTION,1
frowning,:-(,ASCII ':-(' represents 'frowning',Direct,EMOTION,1
weird fighter,( ͡° ͜ʖ ͡°),ASCII '( ͡° ͜ʖ ͡°)' does NOT represent 'weird fighter',Metaphorical,EMOTION,0
wavy line,~~~~~~,ASCII '~~~~~~' represents 'wavy line',Reduplication,OBJECT,1
slash pattern,// / //,ASCII '// / //' represents 'slash pattern',Semantic List,OBJECT,1
blowing kiss,(~˘▾˘)~,ASCII '(~˘▾˘)~' does NOT represent 'blowing kiss',Metaphorical,ACTION,0
waving hand,o/,ASCII 'o/' represents 'waving hand',Direct,ACTION,1
suggestive look,( ͡° ͜ʖ ͡°),ASCII '( ͡° ͜ʖ ͡°)' represents 'suggestive look',Metaphorical,EMOTION,1
creepy reach,(つ ͡° ͜ʖ ͡°)つ,ASCII '(つ ͡° ͜ʖ ͡°)つ' represents 'creepy reach',Metaphorical,ACTION,1
strong right,......,ASCII '......' does NOT represent 'strong right',Reduplication,STATE,0
trailing off,??? ? ?,ASCII '??? ? ?' does NOT represent 'trailing off',Semantic List,STATE,0
growing confusion,??? ? ?,ASCII '??? ? ?' represents 'growing confusion',Semantic List,STATE,1
annoyed expression,-_-,ASCII '-_-' represents 'annoyed expression',Direct,EMOTION,1
content smile,=),ASCII '=)' represents 'content smile',Direct,EMOTION,1
star pattern,>>> <<<,ASCII '>>> <<<' does NOT represent 'star pattern',Semantic List,ACTION,0
spade suit,♠,ASCII '♠' represents 'spade suit',Single,OBJECT,1
annoyed expression,-_-,ASCII '-_-' represents 'annoyed expression',Direct,EMOTION,1
raising hand,\o,ASCII '\o' represents 'raising hand',Direct,ACTION,1
cute smile,(｡◕‿◕｡),ASCII '(｡◕‿◕｡)' represents 'cute smile',Metaphorical,EMOTION,1
adding more,+++ + +,ASCII '+++ + +' represents 'adding more',Semantic List,ACTION,1
raising hand,v,ASCII 'v' does NOT represent 'raising hand',Direct,OBJECT,0
putting table back,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' does NOT represent 'putting table back',Metaphorical,ACTION,0
star symbol,*,ASCII '*' represents 'star symbol',Direct,OBJECT,1
x marks,XXX X X,ASCII 'XXX X X' represents 'x marks',Semantic List,OBJECT,1
at symbols,<- <-- <---,ASCII '<- <-- <---' does NOT represent 'at symbols',Semantic List,ACTION,0
circle pattern,ooo o o,ASCII 'ooo o o' represents 'circle pattern',Semantic List,OBJECT,1
many stars,<<<<<<,ASCII '<<<<<<' does NOT represent 'many stars',Reduplication,ACTION,0
long line,++++++,ASCII '++++++' does NOT represent 'long line',Reduplication,OBJECT,0
vertical lines,_o/,ASCII '_o/' does NOT represent 'vertical lines',Direct,ACTION,0
at symbols,@@@ @ @,ASCII '@@@ @ @' represents 'at symbols',Semantic List,OBJECT,1
annoyed expression,-_-,ASCII '-_-' represents 'annoyed expression',Direct,EMOTION,1
box shape,[],ASCII '[]' represents 'box shape',Direct,OBJECT,1
happy eyes,^_^,ASCII '^_^' represents 'happy eyes',Direct,EMOTION,1
ampersands,&&& & &,ASCII '&&& & &' represents 'ampersands',Semantic List,OBJECT,1
sly expression,(¬‿¬),ASCII '(¬‿¬)' represents 'sly expression',Metaphorical,EMOTION,1
asterisk pattern,***,ASCII '***' represents 'asterisk pattern',Direct,OBJECT,1
very upset,*,ASCII '*' does NOT represent 'very upset',Direct,OBJECT,0
angry face,>:(,ASCII '>:(' represents 'angry face',Direct,EMOTION,1
joyful celebration,(◕‿◕✿),ASCII '(◕‿◕✿)' does NOT represent 'joyful celebration',Metaphorical,QUALITY,0
wavy line,XDXDXD,ASCII 'XDXDXD' does NOT represent 'wavy line',Reduplication,EMOTION,0
swaying dance,(~˘▾˘)~,ASCII '(~˘▾˘)~' represents 'swaying dance',Metaphorical,ACTION,1
increasing excitement,:( :( :(,ASCII ':( :( :(' does NOT represent 'increasing excitement',Semantic List,EMOTION,0
sly expression,ヽ(´▽`)/,ASCII 'ヽ(´▽`)/' does NOT represent 'sly expression',Metaphorical,EMOTION,0
carefree joy,ಥ_ಥ,ASCII 'ಥ_ಥ' does NOT represent 'carefree joy',Metaphorical,EMOTION,0
extreme emphasis,######,ASCII '######' does NOT represent 'extreme emphasis',Reduplication,OBJECT,0
vertical lines,|||,ASCII '|||' represents 'vertical lines',Direct,OBJECT,1
x marks,XXX X X,ASCII 'XXX X X' represents 'x marks',Semantic List,OBJECT,1
happy walking,♪~ ᕕ(ᐛ)ᕗ,ASCII '♪~ ᕕ(ᐛ)ᕗ' represents 'happy walking',Metaphorical,ACTION,1
vertical lines,|||,ASCII '|||' represents 'vertical lines',Direct,OBJECT,1
box shape,[],ASCII '[]' represents 'box shape',Direct,OBJECT,1
happy eyes pattern,>>> <<<,ASCII '>>> <<<' does NOT represent 'happy eyes pattern',Semantic List,ACTION,0
smiling,{},ASCII '{}' does NOT represent 'smiling',Direct,OBJECT,0
cool attitude,ᕦ(ò_óˇ)ᕤ,ASCII 'ᕦ(ò_óˇ)ᕤ' does NOT represent 'cool attitude',Metaphorical,ACTION,0
diamond shape,:-(,ASCII ':-(' does NOT represent 'diamond shape',Direct,EMOTION,0
disapproval stare,ಠ_ಠ,ASCII 'ಠ_ಠ' represents 'disapproval stare',Metaphorical,EMOTION,1
adding more,@@@ @ @,ASCII '@@@ @ @' does NOT represent 'adding more',Semantic List,OBJECT,0
diamond shape,<>,ASCII '<>' represents 'diamond shape',Direct,OBJECT,1
yin yang,☯,ASCII '☯' represents 'yin yang',Single,OBJECT,1
person celebrating,\o_,ASCII '\o_' represents 'person celebrating',Direct,ACTION,1
up and down,-> --> --->,ASCII '-> --> --->' does NOT represent 'up and down',Semantic List,ACTION,0
reverse arrows,--- - -,ASCII '--- - -' does NOT represent 'reverse arrows',Semantic List,OBJECT,0
sly expression,(¬‿¬),ASCII '(¬‿¬)' represents 'sly expression',Metaphorical,EMOTION,1
crying pattern,--- - -,ASCII '--- - -' does NOT represent 'crying pattern',Semantic List,OBJECT,0
pure happiness,(•_•),ASCII '(•_•)' does NOT represent 'pure happiness',Metaphorical,STATE,0
finger guns,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' represents 'finger guns',Metaphorical,ACTION,1
star struck,_/\_,ASCII '_/\_' does NOT represent 'star struck',Direct,ACTION,0
happy eyes,^_^,ASCII '^_^' represents 'happy eyes',Direct,EMOTION,1
squinting eyes,D:,ASCII 'D:' does NOT represent 'squinting eyes',Direct,EMOTION,0
fading lines,* * *,ASCII '* * *' does NOT represent 'fading lines',Semantic List,OBJECT,0
angry face,>:(,ASCII '>:(' represents 'angry face',Direct,EMOTION,1
ampersands,&&& & &,ASCII '&&& & &' represents 'ampersands',Semantic List,OBJECT,1
flower girl,( ͡° ͜ʖ ͡°),ASCII '( ͡° ͜ʖ ͡°)' does NOT represent 'flower girl',Metaphorical,EMOTION,0
wavy line,~~~~~~,ASCII '~~~~~~' represents 'wavy line',Reduplication,OBJECT,1
star pattern,%%% % %,ASCII '%%% % %' does NOT represent 'star pattern',Semantic List,OBJECT,0
heavy emphasis,######,ASCII '######' represents 'heavy emphasis',Reduplication,OBJECT,1
deep sleep,zzzzzz,ASCII 'zzzzzz' represents 'deep sleep',Reduplication,STATE,1
determined spirit,(๑•̀ㅂ•́)و✧,ASCII '(๑•̀ㅂ•́)و✧' represents 'determined spirit',Metaphorical,QUALITY,1
wide eyed,(◉_◉),ASCII '(◉_◉)' represents 'wide eyed',Metaphorical,STATE,1
pure happiness,＼(^o^)／,ASCII '＼(^o^)／' represents 'pure happiness',Metaphorical,EMOTION,1
pointing back,( ˘ ³˘)♥,ASCII '( ˘ ³˘)♥' does NOT represent 'pointing back',Metaphorical,ACTION,0
neutral expression,:-|,ASCII ':-|' represents 'neutral expression',Direct,EMOTION,1
happy walking,¯\_(ツ)_/¯,ASCII '¯\_(ツ)_/¯' does NOT represent 'happy walking',Metaphorical,STATE,0
vertical lines,\o,ASCII '\o' does NOT represent 'vertical lines',Direct,ACTION,0
multiple hearts,<3 <3 <3,ASCII '<3 <3 <3' represents 'multiple hearts',Semantic List,EMOTION,1
at symbols,@@@ @ @,ASCII '@@@ @ @' represents 'at symbols',Semantic List,OBJECT,1
equal signs,***,ASCII '***' does NOT represent 'equal signs',Direct,OBJECT,0
happy walking,(｡♥‿♥｡),ASCII '(｡♥‿♥｡)' does NOT represent 'happy walking',Metaphorical,EMOTION,0
trailing off,... . . .,ASCII '... . . .' represents 'trailing off',Semantic List,STATE,1
many ups,^^^^^^,ASCII '^^^^^^' represents 'many ups',Reduplication,ACTION,1
happy eyes,:(,ASCII ':(' does NOT represent 'happy eyes',Direct,EMOTION,0
hash pattern,###,ASCII '###' represents 'hash pattern',Direct,OBJECT,1
android smile,(╬ಠ益ಠ),ASCII '(╬ಠ益ಠ)' does NOT represent 'android smile',Metaphorical,EMOTION,0
happy eyes,^_^,ASCII '^_^' represents 'happy eyes',Direct,EMOTION,1
concerned look,(ㆆ_ㆆ),ASCII '(ㆆ_ㆆ)' represents 'concerned look',Metaphorical,EMOTION,1
cross mark,☮,ASCII '☮' does NOT represent 'cross mark',Single,OBJECT,0
dizzy face,...,ASCII '...' does NOT represent 'dizzy face',Direct,OBJECT,0
backslash pattern,-> --> --->,ASCII '-> --> --->' does NOT represent 'backslash pattern',Semantic List,ACTION,0
wavy line,......,ASCII '......' does NOT represent 'wavy line',Reduplication,STATE,0
laughing hard,XD,ASCII 'XD' represents 'laughing hard',Direct,EMOTION,1
arrow up,^,ASCII '^' represents 'arrow up',Direct,OBJECT,1
crying sadly,(ಥ﹏ಥ),ASCII '(ಥ﹏ಥ)' represents 'crying sadly',Metaphorical,EMOTION,1
praying hands,_/\_,ASCII '_/\_' represents 'praying hands',Direct,ACTION,1
parentheses,(),ASCII '()' represents 'parentheses',Direct,OBJECT,1
suggestive look,(ง ͠° ͟ل͜ ͡°)ง,ASCII '(ง ͠° ͟ل͜ ͡°)ง' does NOT represent 'suggestive look',Metaphorical,STATE,0
cool attitude,(⌐■_■),ASCII '(⌐■_■)' represents 'cool attitude',Metaphorical,QUALITY,1
gentle smile,(╯°□°）╯︵ ┻━┻,ASCII '(╯°□°）╯︵ ┻━┻' does NOT represent 'gentle smile',Metaphorical,EMOTION,0
dancing to music,┌(・。・)┘♪,ASCII '┌(・。・)┘♪' represents 'dancing to music',Metaphorical,ACTION,1
raising hand,\o,ASCII '\o' represents 'raising hand',Direct,ACTION,1
money symbols,$$$ $ $,ASCII '$$$ $ $' represents 'money symbols',Semantic List,OBJECT,1
multiple hearts,<3 <3 <3,ASCII '<3 <3 <3' represents 'multiple hearts',Semantic List,EMOTION,1
happy walking,♪~ ᕕ(ᐛ)ᕗ,ASCII '♪~ ᕕ(ᐛ)ᕗ' represents 'happy walking',Metaphorical,ACTION,1
bracket types,[ ] { } ( ),ASCII '[ ] { } ( )' represents 'bracket types',Semantic List,OBJECT,1
heart shape,</3,ASCII '</3' does NOT represent 'heart shape',Direct,OBJECT,0
cool attitude,(⌐■_■),ASCII '(⌐■_■)' represents 'cool attitude',Metaphorical,QUALITY,1
multiple hearts,\\ \ \\,ASCII '\\ \ \\' does NOT represent 'multiple hearts',Semantic List,OBJECT,0
umbrella symbol,♦,ASCII '♦' does NOT represent 'umbrella symbol',Single,OBJECT,0
horizontal line,T_T,ASCII 'T_T' does NOT represent 'horizontal line',Direct,EMOTION,0
concerned look,ヾ(⌐■_■)ノ♪,ASCII 'ヾ(⌐■_■)ノ♪' does NOT represent 'concerned look',Metaphorical,ACTION,0
group smiling,[ ] { } ( ),ASCII '[ ] { } ( )' does NOT represent 'group smiling',Semantic List,OBJECT,0
percent signs,%%% % %,ASCII '%%% % %' represents 'percent signs',Semantic List,OBJECT,1
strong left,<<<<<<,ASCII '<<<<<<' represents 'strong left',Reduplication,ACTION,1
check mark,☀,ASCII '☀' does NOT represent 'check mark',Single,OBJECT,0
waving hand,o/,ASCII 'o/' represents 'waving hand',Direct,ACTION,1
lots of money,$$$$$$,ASCII '$$$$$$' represents 'lots of money',Reduplication,OBJECT,1
vertical lines,|||,ASCII '|||' represents 'vertical lines',Direct,OBJECT,1
many pluses,++++++,ASCII '++++++' represents 'many pluses',Reduplication,OBJECT,1
cross mark,✈,ASCII '✈' does NOT represent 'cross mark',Single,OBJECT,0
putting table back,＼(^o^)／,ASCII '＼(^o^)／' does NOT represent 'putting table back',Metaphorical,EMOTION,0
on the floor,OTL,ASCII 'OTL' represents 'on the floor',Direct,ACTION,1
